Aluminum.Band,BirdSex,Age,Recapture,Mass,Tail,Wing.LEFT,Wing.RIGHT,Tarsus1,Tarsus2,Bill.Depth,Bill.Width,Bill.Length_culmen,Bill.Length_nares,Date.Banded_date,Year,OrdinalDay
1320-86734,F,AHY,No,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982-05-01,1982,121
1520-30553,M,ASY,No,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30555,M,ASY,No,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30556,M,ASY,No,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30557,M,SY,No,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30558,M,SY,No,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30600,U,N,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30746,U,N,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30747,U,N,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30748,U,N,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30749,U,N,No,6.9,NA,NA,NA,17.49,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30750,U,N,No,7.7,NA,NA,NA,19.06,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30791,U,N,No,7.9,NA,NA,NA,19.1,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30792,U,N,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30793,U,N,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30794,U,N,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30795,U,N,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30796,M,U,No,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
